famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword_generique,keyword_voiture
"Moteur",1269,"Soupape d'admission",soupape-d-admission,1,0,G2,"soupape d'admission","soupape d'admission voiture"
"Moteur",1270,"Soupape d'échappement",soupape-d-echappement,1,0,G2,"soupape d'échappement","soupape d'échappement voiture"
"Moteur",1533,"Vis de culasse",vis-de-culasse,1,0,G2,"vis de culasse","vis de culasse voiture"
"Refroidissement",548,"Bouchon de radiateur",bouchon-de-radiateur,2,0,G3,"bouchon de radiateur","bouchon de radiateur voiture"
"Refroidissement",56,"Bouchon vase d'expansion",bouchon-vase-d-expansion,2,0,G3,"bouchon vase d'expansion","bouchon vase d'expansion voiture"
"Refroidissement",3219,"Bride de liquide de refroidissement",bride-de-liquide-de-refroidissement,2,0,G3,"bride de liquide de refroidissement","bride de liquide de refroidissement voiture"
"Refroidissement",1385,"Commande de ventilation",commande-de-ventilation,1,0,G2,"commande de ventilation","commande de ventilation voiture"
"Refroidissement",475,"Durite de refroidissement",durite-de-refroidissement,1,0,G2,"durite de refroidissement","durite de refroidissement voiture"
"Refroidissement",792,"Moteur électrique de ventilateur",moteur-electrique-de-ventilateur,2,0,G3,"moteur électrique de ventilateur","moteur électrique de ventilateur voiture"
"Refroidissement",1260,"Pompe à eau",pompe-a-eau,1,1,G1,"pompe à eau","pompe à eau voiture"
"Refroidissement",2669,"Pulseur d'air d'habitacle",pulseur-d-air-d-habitacle,1,0,G2,"pulseur d'air d'habitacle","pulseur d'air d'habitacle voiture"
"Refroidissement",467,"Radiateur de chauffage",radiateur-de-chauffage,1,0,G2,"radiateur de chauffage","radiateur de chauffage voiture"
"Refroidissement",470,"Radiateur de refroidissement",radiateur-de-refroidissement,1,1,G1,"radiateur de refroidissement","radiateur de refroidissement voiture"
"Refroidissement",830,"Sonde de refroidissement",sonde-de-refroidissement,1,0,G2,"sonde de refroidissement","sonde de refroidissement voiture"
"Refroidissement",316,"Thermostat",thermostat,1,0,G2,"thermostat","thermostat voiture"
"Refroidissement",397,"Vase d'expansion",vase-d-expansion,2,0,G3,"vase d'expansion","vase d'expansion voiture"
